                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.112,                 3.6875,                  1.322,                0.00614,                0.30321,                0.08626,                0.05631,                 1.3753,                 3.8281,                 1.0445,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.7465,                 2.0625,                 1.0674,                0.00941,                0.36392,                0.19535,                0.12302,                 1.2358,                  3.435,                0.97047,             0.00037582,             0.00037582,             0.00037582
                      3,                 1.5588,                 1.5781,                  1.007,                 0.0101,                0.44404,                0.24816,                0.16233,                 1.1663,                 3.2725,                0.94417,             0.00056035,             0.00056035,             0.00056035
                      4,                 1.4715,                 1.4758,                 1.0126,                0.02483,                0.69151,                0.38523,                 0.2121,                 1.2773,                 3.3449,                 1.0205,             0.00073695,             0.00073695,             0.00073695
                      5,                 1.4383,                 1.1789,                0.99753,                0.92741,                 0.2692,                0.75725,                0.41176,                 1.2674,                 2.8946,                 1.0613,             0.00090563,             0.00090563,             0.00090563
                      6,                 1.4246,                 1.3041,                0.98239,                0.97519,                0.24555,                 0.8463,                0.50736,                 1.2288,                 2.7063,                 1.0706,              0.0010664,              0.0010664,              0.0010664
                      7,                 1.4321,                 1.2353,                0.98351,                0.85384,                0.56167,                0.83638,                0.45322,                  1.347,                 2.3824,                 1.1396,              0.0012192,              0.0012192,              0.0012192
                      8,                 1.2719,                 1.0576,                0.96496,                0.90346,                0.39394,                0.78038,                0.41149,                 1.2613,                 2.1319,                 1.0144,              0.0013642,              0.0013642,              0.0013642
                      9,                 1.2728,                 1.0591,                0.94799,                0.54548,                0.64451,                0.69048,                0.33661,                 1.4085,                 2.3134,                 1.1019,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.3232,                 1.0463,                 0.9553,                 0.7182,                0.70635,                0.85504,                0.49277,                 1.2193,                 1.8768,                 1.0336,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.2565,                0.97537,                0.94513,                0.78652,                0.77841,                0.82853,                0.46347,                 1.2093,                 1.6147,                 1.0435,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.2556,                 1.0333,                0.94897,                0.84782,                0.80594,                0.87823,                0.52347,                 1.2191,                 1.4972,                 1.0637,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.3247,                0.97145,                0.96969,                0.85006,                0.81555,                0.88599,                0.50944,                 1.1885,                 1.4966,                 1.0259,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.2197,                 0.9174,                0.94308,                0.89225,                0.88843,                0.92518,                0.62139,                 1.0381,                 1.2774,                0.97872,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.2276,                0.92091,                0.92759,                0.83939,                 0.8443,                0.88258,                0.55606,                  1.085,                 1.2927,                 0.9648,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.2377,                0.97784,                0.96908,                0.91062,                0.88785,                0.93943,                0.62943,                  1.016,                 1.2231,                0.94685,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.2062,                0.90608,                0.91343,                0.88894,                0.88386,                0.94687,                0.62666,                 1.0421,                 1.1909,                0.96103,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.2162,                0.96663,                0.98089,                0.87754,                 0.9114,                0.93739,                 0.5963,                 1.0179,                 1.1289,                 0.9365,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.1746,                0.85014,                0.92297,                0.92439,                0.89027,                0.94671,                0.63972,                0.98521,                 1.1193,                0.93916,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.1427,                0.84795,                0.92611,                0.86241,                0.86891,                0.90716,                0.63289,                0.95961,                 1.1721,                 0.9372,              0.0010729,              0.0010729,              0.0010729
                     21,                  1.104,                0.82091,                0.93853,                0.90599,                0.92337,                0.93075,                0.62148,                0.95327,                 1.1505,                0.92816,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.1622,                0.79592,                0.92227,                0.87468,                0.89786,                0.92598,                0.60888,                0.97673,                 1.1496,                0.93107,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.1476,                0.78128,                0.91344,                0.90236,                0.85567,                0.91935,                0.63029,                0.98224,                 1.0887,                0.94296,             0.00097386,             0.00097386,             0.00097386
                     24,                  1.089,                0.74669,                0.91071,                0.92524,                0.93603,                0.95854,                0.65349,                0.93625,                 1.0315,                0.93078,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.2274,                0.82694,                0.92175,                0.90956,                0.92577,                0.93837,                0.64021,                0.96569,                0.99215,                0.93522,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.0823,                0.74994,                0.90329,                0.84868,                0.90874,                0.92803,                0.65328,                0.92971,                0.98084,                 0.9239,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.1458,                0.82913,                0.89056,                0.91254,                0.92817,                0.95026,                0.62425,                0.94094,                0.95529,                 0.9172,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.0801,                0.74111,                0.91946,                0.82709,                0.93983,                0.93938,                0.64316,                0.90718,                 1.0008,                0.90832,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.0893,                 0.7405,                0.89827,                0.92273,                0.91078,                0.94951,                0.66161,                0.89774,                0.91456,                0.91177,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.0972,                0.73315,                0.89899,                0.93536,                0.90503,                0.96055,                0.67301,                0.86827,                0.86556,                 0.9013,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.0808,                0.70711,                0.89912,                0.93543,                 0.9219,                0.96723,                0.67008,                0.87172,                0.85076,                0.89655,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.0859,                0.73372,                0.90639,                0.93764,                0.94835,                0.97092,                0.68766,                0.87789,                0.79968,                 0.9005,              0.0006768,              0.0006768,              0.0006768
                     33,                0.98368,                0.64323,                0.88402,                 0.9469,                0.93714,                0.96922,                0.67675,                0.85617,                0.80889,                0.88725,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.0502,                0.68695,                0.89994,                0.96428,                0.93354,                0.97442,                0.69653,                0.82935,                0.76257,                0.88625,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.0564,                0.69863,                0.89263,                0.95074,                0.93699,                0.97293,                0.68215,                0.88089,                0.77509,                0.90308,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.0188,                0.64863,                0.87555,                0.95938,                0.93789,                0.97423,                0.69261,                0.86316,                0.77625,                0.89877,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.0175,                0.64589,                0.88291,                 0.9508,                0.95373,                0.97708,                0.68118,                0.83794,                0.75613,                0.89064,             0.00051177,             0.00051177,             0.00051177
                     38,                  1.066,                0.66407,                0.88528,                0.93946,                0.95518,                0.97837,                0.68764,                0.82461,                0.73896,                 0.8878,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.0542,                0.63779,                0.88169,                0.96429,                0.94729,                 0.9779,                0.69343,                0.82922,                0.70765,                0.89129,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.0425,                0.64289,                0.87887,                0.96324,                 0.9315,                0.97673,                0.71215,                0.81093,                0.68552,                0.88315,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.0472,                0.67042,                0.90861,                0.96556,                0.94719,                0.97904,                0.71966,                 0.7913,                0.70965,                0.87562,             0.00037974,             0.00037974,             0.00037974
                     42,                0.93834,                0.66124,                0.88054,                0.95728,                0.95272,                 0.9797,                0.71297,                0.80517,                0.74016,                0.88005,             0.00034674,             0.00034674,             0.00034674
                     43,                0.89188,                 0.6053,                0.85073,                0.96091,                0.95472,                0.98201,                0.70981,                0.81137,                0.71534,                0.88185,             0.00031373,             0.00031373,             0.00031373
                     44,                0.99436,                0.61499,                0.87206,                0.97633,                 0.9491,                0.98154,                0.71677,                0.79743,                0.69135,                0.87824,             0.00028072,             0.00028072,             0.00028072
                     45,                0.94254,                  0.618,                0.87597,                0.97418,                0.95297,                0.98136,                0.70644,                 0.7897,                0.68938,                0.87618,             0.00024772,             0.00024772,             0.00024772
                     46,                0.89771,                0.58298,                0.85795,                0.96907,                0.95303,                 0.9836,                0.70209,                0.80516,                0.70331,                0.87676,             0.00021471,             0.00021471,             0.00021471
                     47,                0.98649,                0.61397,                0.86497,                0.97316,                0.95387,                0.98443,                0.71452,                0.78025,                0.67915,                0.86988,              0.0001817,              0.0001817,              0.0001817
                     48,                0.97703,                0.58871,                0.87881,                0.97349,                0.95743,                0.98447,                0.72156,                0.77576,                 0.6592,                0.87008,              0.0001487,              0.0001487,              0.0001487
                     49,                0.95009,                0.59297,                0.85708,                0.97351,                0.95605,                0.98288,                0.72313,                0.77164,                 0.6551,                0.86896,             0.00011569,             0.00011569,             0.00011569
